experiment,category,split,n,dice,f1,sens,spec,acc,prec,auc,runtime_s,preproc,enhance,threshold,cleanup
otsu_110,thresh,dev,20,0.7027,0.7027,0.6217,0.9793,0.9325,0.8284,0.8955,2.116,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.10,line9,a6,close2,area40,dil0
perc_10,thresh,dev,20,0.6696,0.6696,0.5421,0.9898,0.9318,0.8836,0.8955,2.124,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc10%,line9,a6,close2,area40,dil0
perc_12,thresh,dev,20,0.7005,0.7005,0.5967,0.9853,0.9350,0.8552,0.8955,2.121,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc12%,line9,a6,close2,area40,dil0
perc_15,thresh,dev,20,0.7208,0.7208,0.6536,0.9774,0.9354,0.8115,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a6,close2,area40,dil0
hys_100_50,thresh,dev,20,0.5053,0.5053,0.8889,0.7399,0.7576,0.3661,0.8955,2.124,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1/0.5),line9,a6,close2,area40,dil0
hys_105_60,thresh,dev,20,0.6020,0.6020,0.8410,0.8491,0.8468,0.4893,0.8955,2.121,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1.05/0.6),line9,a6,close2,area40,dil0
hys_110_70,thresh,dev,20,0.6672,0.6672,0.7931,0.9099,0.8938,0.5990,0.8955,2.123,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1.1/0.7),line9,a6,close2,area40,dil0
hys_095_45,thresh,dev,20,0.4471,0.4471,0.9117,0.6581,0.6891,0.3050,0.8955,2.122,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(0.95/0.45),line9,a6,close2,area40,dil0
adapt_45,thresh,dev,20,0.6297,0.6297,0.8216,0.8839,0.8754,0.5170,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,adapt0.45,line9,a6,close2,area40,dil0
adapt_55,thresh,dev,20,0.5737,0.5737,0.8511,0.8359,0.8373,0.4376,0.8955,2.122,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,adapt0.55,line9,a6,close2,area40,dil0
lineLen7,cleanup,dev,20,0.7089,0.7089,0.6748,0.9669,0.9284,0.7693,0.8955,2.117,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line7,a6,close2,area40,dil0
lineLen5,cleanup,dev,20,0.6966,0.6966,0.7125,0.9505,0.9189,0.7068,0.8955,2.118,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line5,a6,close2,area40,dil0
lineLen11,cleanup,dev,20,0.7067,0.7067,0.6302,0.9784,0.9329,0.8244,0.8955,2.117,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line11,a6,close2,area40,dil0
closeDisk1,cleanup,dev,20,0.7147,0.7147,0.6460,0.9772,0.9338,0.8197,0.8955,2.117,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line9,a6,close1,area40,dil0
minArea20,cleanup,dev,20,0.7153,0.7153,0.6699,0.9708,0.9312,0.7881,0.8955,2.117,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line9,a6,close2,area20,dil0
minArea60,cleanup,dev,20,0.7123,0.7123,0.6589,0.9726,0.9315,0.7961,0.8955,2.117,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line9,a6,close2,area60,dil0
angles15,cleanup,dev,20,0.7189,0.7189,0.6874,0.9675,0.9306,0.7742,0.8955,2.121,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line9,a12,close2,area40,dil0
postDilate1,cleanup,dev,20,0.7049,0.7049,0.7879,0.9344,0.9147,0.6511,0.8955,2.116,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line9,a6,close2,area40,dil1
noLineOpen,cleanup,dev,20,0.6277,0.6277,0.7532,0.8965,0.8769,0.5718,0.8955,2.114,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line0,a6,close2,area40,dil0
R2_otsu_0.90,round2,dev,20,0.7139,0.7139,0.7039,0.9606,0.9267,0.7461,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*0.90,line9,a6,close2,area40,dil0
R2_otsu_0.95,round2,dev,20,0.7150,0.7150,0.6834,0.9668,0.9296,0.7714,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*0.95,line9,a6,close2,area40,dil0
R2_otsu_1.00,round2,dev,20,0.7138,0.7138,0.6634,0.9720,0.9315,0.7934,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line9,a6,close2,area40,dil0
R2_otsu_1.05,round2,dev,20,0.7096,0.7096,0.6431,0.9759,0.9323,0.8121,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.05,line9,a6,close2,area40,dil0
R2_otsu_1.10,round2,dev,20,0.7027,0.7027,0.6217,0.9793,0.9325,0.8284,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.10,line9,a6,close2,area40,dil0
R2_perc_0.09,round2,dev,20,0.6456,0.6456,0.5069,0.9918,0.9290,0.8980,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc9%,line9,a6,close2,area40,dil0
R2_perc_0.10,round2,dev,20,0.6696,0.6696,0.5421,0.9898,0.9318,0.8836,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc10%,line9,a6,close2,area40,dil0
R2_perc_0.11,round2,dev,20,0.6881,0.6881,0.5726,0.9876,0.9338,0.8694,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc11%,line9,a6,close2,area40,dil0
R2_perc_0.12,round2,dev,20,0.7005,0.7005,0.5967,0.9853,0.9350,0.8552,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc12%,line9,a6,close2,area40,dil0
R2_perc_0.13,round2,dev,20,0.7094,0.7094,0.6180,0.9827,0.9354,0.8399,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc13%,line9,a6,close2,area40,dil0
R2_perc_0.14,round2,dev,20,0.7162,0.7162,0.6368,0.9802,0.9357,0.8260,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc14%,line9,a6,close2,area40,dil0
R2_hys_1_0.5,round2,dev,20,0.5053,0.5053,0.8889,0.7399,0.7576,0.3661,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1/0.5),line9,a6,close2,area40,dil0
R2_hys_1.05_0.6,round2,dev,20,0.6020,0.6020,0.8410,0.8491,0.8468,0.4893,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1.05/0.6),line9,a6,close2,area40,dil0
R2_hys_1.1_0.65,round2,dev,20,0.6399,0.6399,0.8165,0.8848,0.8749,0.5489,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1.1/0.65),line9,a6,close2,area40,dil0
R2_hys_1_0.6,round2,dev,20,0.6018,0.6018,0.8411,0.8490,0.8467,0.4889,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1/0.6),line9,a6,close2,area40,dil0
R2_hys_1.05_0.55,round2,dev,20,0.5575,0.5575,0.8652,0.8016,0.8085,0.4288,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(1.05/0.55),line9,a6,close2,area40,dil0
