Model,Initialization,InputSize,Augmentation,Enhancement,Accuracy,MacroF1,WeightedF1,QWK,MAE,MildRecall,ModerateRecall,SevereRecall,ProliferativeRecall,ReferableSensitivity,ReferableSpecificity,ReferableF1,Notes
scratch-baseline,scratch,224,none,none,0.7367,0.5083,0.7000,0.7672,0.4000,0.4459,0.6850,0.1795,0.2203,0.8322,0.9080,0.8200,no-augmentation
pretrained-5class,ImageNet,224,rot15+reflect+trans+shear+oversample800,none,0.8281,0.6805,0.8274,0.8914,0.2278,0.6081,0.7850,0.4872,0.5254,0.9060,0.9471,0.9100,new-champion
